"Table 2.1  Returns with Itemized Deductions: Sources of Income,
Adjustments, Itemized Deductions by Type, Exemptions, and Tax 
Items, by Size of Adjusted Gross Income, Tax Year 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    $5,000 under $10,000","504,532","3,850,978","504,532","4,184,460","173,964","1,800,824","269,663","261,863","33,019","114,098","171,173","442,633","154,728","252,232","58,249","32,070",0,0,"148,526","488,724","162,854","-88,452","19,346","-201,141","107,103","548,100","176,698","1,375,586","48,924","226,261","47,006","398,646","* 5,005","* 19,174","48,767","-8,515","6,602","18,484","6,129","-39,007","32,304","218,742","8,292","46,616","35,347","546,887","7,926","83,155",* 104,* 151,"* 2,020","* 152,348","9,635","47,613","27,988","28,633","147,518","333,482","8,038,587",0,0,"358,909","3,487,466","358,909","3,692,324","358,909","204,857","484,736","1,573,532","439,299","297,610","135,322","128,284","303,977","169,326","371,434","1,220,120","148,309","43,233","17,168","12,569","270,575","1,885,585","258,773","1,845,106","254,399","1,793,064","11,898","52,042","16,601","6,992","27,068","27,952","14,284","5,535","305,855","429,099","262,772","404,850","130,734","80,276","27,451","156,826","* 4,125","* 27,475","166,230","588,102","57,675","268,539","187,398","53,253","72,663","297,831","236,884","619,623","13,680","47,327","9,293","38,397","4,416","8,930","723,777","2,744,757","24,400","83,545","* 1,207","* 4,537","24,704","19,351","10,514",694,"21,607","18,656","21,607","18,656"
"    $10,000 under $15,000","855,280","10,794,081","855,280","11,355,910","333,135","4,334,347","435,898","601,118","50,563","424,990","245,029","867,006","223,902","506,521","87,627","58,381","* 6,919","* 57,959","189,492","1,551,601","217,484","-51,734","14,121","-201,476","174,556","895,997","372,599","3,291,230","64,925","311,420","64,222","525,707","* 4,203","* 3,458","48,258","-249,366","2,501","15,502","14,421","-144,834","91,076","568,985","38,055","134,951","26,402","502,056","5,332","82,711","* 1,004","* 1,011","1,069","76,154","26,650","208,969","46,247","126,047","208,810","561,829","13,069,740",0,0,"615,989","5,147,198","615,989","5,730,339","615,989","583,142","813,446","2,531,271","742,588","659,164","263,154","379,148","479,433","280,016","594,824","1,775,619","283,502","82,062","39,578","14,426","433,031","3,124,017","426,756","3,015,039","418,396","2,964,163","9,456","50,877","20,533","8,794","57,169","76,432","10,453","23,752","528,947","978,199","480,077","917,110","214,283","149,792","36,317","410,296","* 5,162","* 180,201","250,958","922,367","128,106","722,210","321,483","77,207","131,489","210,058","428,522","1,009,476","28,493","186,486","23,324","175,820","5,169","10,667","1,186,355","4,501,918","189,699","455,752","* 1,102","* 1,262","173,698","47,626","62,332","9,862","136,031","37,764","136,031","37,764"
"    $15,000 under $20,000","979,496","17,180,039","979,496","17,770,482","501,121","8,366,445","436,646","564,332","61,827","516,033","257,735","836,045","223,577","519,588","144,019","85,753","* 5,970","* 90,579","216,192","1,515,264","217,214","212,519","12,775","-145,896","190,072","1,568,600","375,667","4,317,484","79,440","675,511","77,461","767,905","9,399","52,219","61,309","-94,494","6,568","58,038","20,622","-225,352","106,808","784,099","236,907","347,271","30,725","653,542","5,559","16,851",* 6,* 38,"1,173","107,712","19,162","180,040","45,089","146,514","220,153","590,443","14,832,123",0,0,"585,452","4,862,302","585,452","5,629,112","585,452","766,810","945,750","3,020,392","865,485","708,254","379,890","376,011","485,595","332,244","717,914","2,151,560","350,580","90,499","43,812","70,078","562,358","4,031,508","552,609","3,886,079","538,490","3,795,795","16,268","90,283","26,621","9,655","79,227","119,264","13,831","16,510","652,396","1,304,530","588,140","1,100,131","297,331","243,853","28,803","271,182","* 3,998","* 17,811","279,213","1,445,441","200,040","1,125,930","397,178","99,095","132,384","358,142","531,537","1,583,166","19,339","150,139","16,676","148,707","2,663","1,432","1,512,378","5,737,338","480,389","2,262,442","2,904","8,960","450,674","220,811","104,511","24,969","403,621","195,841","403,621","195,841"
"    $20,000 under $25,000","1,131,529","25,519,703","1,131,529","26,293,270","686,405","14,020,933","465,661","612,580","56,071","412,919","270,753","969,675","243,886","599,871","210,334","105,461","8,830","107,355","234,273","1,755,499","242,811","163,788","21,726","-233,618","199,590","1,842,729","362,008","4,771,478","93,572","718,987","64,097","594,231","7,410","41,391","88,646","407,465","4,853","26,623","19,562","-337,411","131,428","1,262,945","378,404","880,565","24,941","522,373","9,804","104,988",* 3,* 1,"1,090","83,068","27,117","157,083","58,228","155,818","278,522","773,568","17,065,870",0,0,"572,525","4,563,915","572,525","5,533,065","572,525","969,150","1,105,075","3,786,589","1,040,337","1,019,305","521,425","575,674","518,912","443,631","825,133","2,519,817","419,901","176,136","53,648","71,330","671,766","4,747,247","665,165","4,601,202","650,925","4,493,382","23,441","107,820","36,931","9,419","102,563","123,256","13,760","13,369","780,633","1,719,035","703,026","1,451,683","398,358","268,507","34,866","634,383","* 5,349","* 44,884","352,439","2,027,329","277,631","1,653,045","478,085","114,166","168,731","475,634","663,616","2,242,845","29,285","176,872","24,007","130,821","4,272","6,587","1,790,543","6,796,883","713,085","5,325,475","1,296","8,379","691,466","550,935","220,424","72,035","588,650","478,900","588,650","478,900"
"    $25,000 under $30,000","1,317,207","36,257,843","1,317,207","37,268,907","926,009","23,658,243","507,867","637,480","60,859","530,769","278,159","1,004,583","254,554","579,491","332,299","207,404","* 5,999","* 92,666","255,370","1,797,417","238,765","-53,833","18,306","-79,353","211,396","1,985,549","356,480","5,206,785","84,757","593,296","69,556","750,006","* 4,976","* 53,448","81,405","211,821","8,517","27,955","14,971","-77,070","155,374","1,392,207","406,869","1,472,901","13,373","359,312","10,240","87,424","* 2,004",* 846,"3,321","200,704","33,235","218,759","57,784","193,850","327,147","1,011,064","20,259,536",0,0,"628,706","4,647,531","628,706","5,941,887","628,706","1,294,356","1,292,329","4,403,341","1,225,184","1,497,609","708,219","1,032,194","516,965","465,415","949,589","2,666,755","522,575","203,830","54,303","34,880","815,164","6,071,872","802,503","5,663,208","787,416","5,533,462","20,268","129,746","35,262","20,031","138,401","371,281","16,331","17,352","954,744","2,169,428","851,944","1,771,361","500,527","383,431","36,740","203,820","12,005","149,250","446,885","2,612,532","423,973","2,385,370","563,799","125,474","188,620","413,017","765,768","2,923,861","35,330","205,582","27,881","175,035","7,449","30,547","2,283,077","8,667,793","1,019,812","10,093,712","* 2,063","* 8,764","987,226","1,117,927","369,874","188,699","777,673","929,228","777,673","929,228"
"    $30,000 under $35,000","1,484,122","48,288,048","1,484,122","49,427,047","1,165,777","34,994,566","568,164","517,847","58,816","332,454","279,750","966,249","255,409","582,903","437,111","240,446","9,715","142,803","264,994","1,920,246","231,684","162,741","17,544","-133,815","186,719","1,906,469","371,602","6,044,432","66,221","476,721","83,062","815,636","* 1,459","* 9,281","88,821","123,718","5,725","40,451","12,040","-117,594","139,724","1,020,381","322,211","1,720,806","10,792","231,964","5,480","84,508","* 3,009","* 3,998",580,"44,792","28,516","239,016","64,019","165,446","407,428","1,138,999","22,007,317",0,0,"589,562","4,016,861","589,562","5,452,953","589,562","1,436,092","1,462,440","4,974,128","1,386,979","1,826,542","904,813","1,375,653","482,166","450,888","1,098,380","2,907,480","584,136","189,161","80,463","50,945","1,000,711","6,834,568","988,575","6,573,105","971,452","6,467,726","27,880","105,378","43,682","15,385","193,644","208,877","20,483","37,202","1,077,334","2,480,188","951,526","1,938,550","581,079","489,393","25,159","193,574","* 8,012","* 61,361","499,587","3,356,605","516,156","3,099,045","640,121","140,722","192,735","521,688","870,075","3,761,455","31,824","283,608","26,369","222,821","5,455","60,787","2,562,045","9,725,779","1,302,627","18,079,634",664,"3,011","1,285,478","2,126,275","459,494","351,435","1,008,268","1,774,840","1,008,268","1,774,840"
"    $35,000 under $40,000","1,721,955","64,717,105","1,721,955","65,979,921","1,393,307","47,384,343","635,224","745,356","72,011","548,373","325,870","1,168,852","303,782","609,999","608,863","375,671","* 6,974","* 87,018","275,657","2,617,819","287,656","129,101","26,333","-261,261","208,482","2,207,349","404,254","7,028,899","83,690","721,797","95,201","938,236","12,165","71,577","96,553","573,466","4,881","10,964","18,332","-74,450","166,030","1,188,992","360,912","2,612,287","7,860","203,479","13,160","150,160","* 1,297",* 322,"1,442","41,779","35,371","294,651","93,259","202,082","459,801","1,262,816","27,001,703",0,0,"613,868","4,230,359","613,868","5,962,081","613,868","1,731,722","1,698,322","6,433,168","1,630,806","2,580,036","1,144,655","2,055,401","486,152","524,635","1,307,769","3,602,709","657,607","203,811","91,761","46,613","1,191,911","8,532,678","1,179,149","8,192,037","1,158,831","7,992,089","33,965","199,948","48,395","28,356","245,274","276,845","24,573","35,439","1,248,648","3,022,120","1,117,342","2,481,415","659,576","548,586","30,134","365,582","5,523","154,479","594,612","3,903,895","613,314","3,701,726","802,356","180,666","248,953","589,730","1,081,257","4,472,122","43,085","725,005","33,318","262,837","10,794","462,168","3,064,261","11,634,363","1,599,912","27,933,227",* 896,"* 4,718","1,581,281","3,376,699","614,516","534,168","1,294,582","2,842,531","1,294,582","2,842,531"
"    $40,000 under $45,000","1,713,738","72,852,527","1,713,738","74,103,074","1,415,485","55,373,105","700,325","704,622","86,261","691,318","365,296","1,245,396","328,848","687,427","624,829","394,243","13,172","188,460","270,506","2,155,708","279,743","598,657","27,228","-96,337","187,167","2,236,692","392,536","7,208,829","85,167","724,205","81,111","961,918","* 3,620","* 42,770","111,750","173,316","3,829","52,885","13,976","-96,173","126,535","833,287","346,711","3,196,249","11,445","150,417","12,113","91,062","* 3,360","* 1,320","1,703","110,075","32,905","214,534","84,672","125,423","458,347","1,250,547","26,976,012",0,0,"564,710","3,933,571","564,710","5,733,523","564,710","1,799,952","1,689,585","7,029,158","1,621,737","2,839,934","1,141,771","2,277,700","479,967","562,234","1,353,494","3,875,258","714,412","261,637","87,987","50,110","1,240,249","8,875,120","1,223,445","8,462,860","1,202,034","8,235,463","32,310","227,397","67,340","57,451","267,412","324,239","19,767","30,569","1,284,840","3,159,771","1,141,194","2,475,979","693,719","3,305,927","21,698","320,834","8,028","17,575","546,364","3,578,257","606,507","3,441,641","765,115","174,363","227,413","558,032","1,027,293","4,174,037","39,281","382,561","27,700","172,065","10,914","56,200","3,188,395","12,106,623","1,637,524","34,775,196","* 1,080","* 7,536","1,614,674","4,289,304","640,474","607,862","1,377,398","3,681,442","1,377,398","3,681,442"
"    $45,000 under $50,000","1,790,149","85,058,322","1,790,149","86,466,998","1,478,087","63,812,881","723,953","719,067","85,488","553,161","389,729","1,395,312","358,171","920,908","715,962","460,454","9,142","184,719","282,973","2,701,394","299,866","246,157","21,200","-70,272","221,393","2,689,408","445,063","9,591,840","102,314","718,530","114,093","1,106,219","7,352","26,297","103,354","260,692","6,709","134,871","24,883","-248,542","147,515","1,065,921","345,255","3,776,642","11,491","219,502","10,896","164,153","* 4,026","* 1,583","4,566","350,304","33,892","327,021","107,780","211,192","486,709","1,408,676","29,043,150",0,0,"527,409","4,031,979","527,409","5,907,286","527,409","1,875,306","1,773,069","7,820,645","1,711,814","3,426,405","1,211,486","2,765,026","500,328","661,379","1,463,181","4,102,846","758,737","256,856","94,713","34,539","1,331,873","9,740,014","1,315,265","9,340,129","1,297,351","9,170,796","31,121","169,333","57,713","20,170","281,072","358,349","22,418","21,366","1,351,870","3,364,123","1,196,171","2,737,420","756,786","726,073","14,624","58,616","* 5,049","* 135,400","527,233","3,583,570","606,409","3,569,937","834,097","189,737","229,273","479,252","1,089,534","4,238,926","39,034","367,419","28,652","295,855","9,365","25,780","3,284,642","12,473,669","1,743,326","44,282,934",371,"22,336","1,727,033","5,641,026","647,851","708,417","1,514,580","4,932,608","1,514,580","4,932,608"
"    $50,000 under $55,000","1,721,555","90,344,156","1,721,555","91,678,961","1,446,998","68,776,543","761,965","747,216","82,611","360,528","410,902","1,558,209","374,813","1,038,966","756,263","553,246","21,720","316,768","298,879","2,246,912","319,767","445,892","25,175","-174,612","219,799","3,028,347","418,022","8,476,904","105,485","1,125,241","114,432","1,093,838","9,273","152,671","104,446","535,961","9,270","107,889","21,190","-257,195","115,484","933,635","350,171","4,303,932","8,875","230,010","9,914","77,403","* 4,048","* 5,368","2,839","244,862","44,492","210,840","78,531","229,172","490,553","1,334,805","29,127,696",0,0,"506,730","3,779,006","506,730","5,774,715","506,730","1,995,708","1,707,271","8,330,688","1,648,224","3,658,613","1,247,358","3,142,278","400,866","516,335","1,449,718","4,376,727","744,294","238,414","86,602","55,726","1,319,426","10,155,474","1,302,207","9,698,403","1,283,639","9,544,822","30,965","153,581","73,507","38,854","285,070","363,874","18,462","54,343","1,318,646","3,322,750","1,181,010","2,708,040","770,205","558,577","21,575","68,944","6,128","96,798","485,940","3,218,862","605,410","3,182,698","813,150","185,180","217,522","541,064","1,056,795","3,908,942","50,557","224,118","41,471","189,541","10,098","34,576","3,346,214","12,704,474","1,681,454","49,171,414","2,741","5,226","1,673,914","6,449,544","697,645","789,642","1,503,716","5,659,901","1,503,716","5,659,901"
"    $55,000 under $60,000","1,740,077","100,033,035","1,740,077","101,602,840","1,462,179","74,997,827","781,696","968,180","92,461","579,511","407,285","1,369,713","371,491","902,545","762,163","561,668","16,130","443,692","284,987","3,238,390","326,496","377,016","25,208","-104,111","216,700","3,137,233","420,060","10,011,863","92,149","1,064,135","92,762","990,043","* 2,022","* 27,850","118,940","796,076","8,477","30,603","24,323","-242,524","131,798","868,496","345,560","4,789,248","8,085","374,591","8,198","111,270","* 7,075","* 8,798","2,125","192,239","44,351","419,795","92,736","312,345","525,999","1,569,805","30,584,482",0,0,"450,076","3,906,750","450,076","5,846,435","450,076","1,939,685","1,727,845","8,753,553","1,680,037","3,995,157","1,282,725","3,456,344","397,312","538,813","1,436,588","4,428,210","790,453","305,359","70,208","24,826","1,306,244","10,118,675","1,291,622","9,615,032","1,265,003","9,376,355","37,535","238,677","80,023","70,430","268,111","331,441","22,532","101,771","1,362,507","3,783,646","1,205,520","3,090,253","812,197","639,747","17,918","165,635","9,352","92,868","516,428","3,507,819","634,714","3,614,618","832,069","188,455","238,602","494,331","1,095,095","4,297,404","48,281","421,172","37,871","341,644","10,410","22,882","3,452,915","13,112,972","1,707,044","56,930,124","4,737","4,338","1,701,302","7,812,900","696,998","936,661","1,545,096","6,876,238","1,545,096","6,876,238"
